route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-841-s18-1,1,841,"Eichenau Nord - Eichenau, Gewerbegebiet",701,,008351,FFFFFF
19-842-s18-1,1,842,"Eichenau Nord - Eichenau, Spechtstraße",701,,008351,FFFFFF
19-843-s18-1,1,843,Fürstenfeldbruck - Emmering - Olching,701,,008351,FFFFFF
19-844-s18-1,1,844,Eichenau Nord - Emmering - Fürstenfeldbruck,701,,008351,FFFFFF
19-851-s18-1,1,851,Harthaus - Unterpfaffenhofen - Germering-Unterpfaffenhofen,701,,008351,FFFFFF
19-852-s18-1,1,852,"Germering, Kerschensteiner Schule - Germering-Unterpf. - Fürstenfeldbruck, Pestalozzischule",701,,008351,FFFFFF
19-853-s18-1,1,853,"Puchheim Bf, Bgm.-Ertl-Str. - Puchheim Süd - Germering-Unterpf.",701,,008351,FFFFFF
19-854-s18-1,1,854,"Puchheim Süd - Puchheim Ort, Vogelsangstraße",701,,008351,FFFFFF
19-855-s18-1,1,855,Puchheim Nord - Lußstraße - Gewerbegebiet Nord - Puchheim Nord,701,,008351,FFFFFF
19-856-s18-1,1,856,"Industriestraße - Germering-Unterpfaffenhofen - Germering, Neue Gautinger Straße -  Planegg West",701,,008351,FFFFFF
19-857-s18-1,1,857,Germering-Unterpfaffenhofen - Krippfeldstraße - Leipziger Straße - Harthaus,701,,008351,FFFFFF
19-858-s18-1,1,858,"Germering, GEP - Germering-Unterpfaffenhofen - Germering, An der Markung",701,,008351,FFFFFF
19-870-s18-1,1,870,Maisach - Waltenhofen,701,,008351,FFFFFF
19-871-s18-1,1,871,Pfaffenhofen (a. d. Glonn) - Aufkirchen - Maisach,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-871-s18-2,1,871,Pfaffenhofen (a. d. Glonn) - Aufkirchen - Maisach,701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-872-s18-1,1,872,Gernlinden - Maisach,701,,008351,FFFFFF
19-873-s18-1,1,873,Maisach - Fürstenfeldbruck,701,,008351,FFFFFF
19-874-s18-1,1,874,"Egenhofen, Dirlesried - Malching - Maisach",701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
19-889-s18-1,1,889,"FFB, Viscardi - Mammendorf - Mittelstetten - Tegernbach",701,,008351,FFFFFF
19-901-s18-1,1,901,Starnberg Nord - Blumensiedlung - Hanfeld - Starnberg Nord,701,,008351,FFFFFF
19-902-s18-1,1,902,Söcking - Max-Josefs-Höhe - Klinikum-MediCenter - Starnberg Nord,701,,008351,FFFFFF
19-903-s18-1,1,903,Perchting - Hadorf - Söcking - Starnberg Nord - Starnberg,701,,008351,FFFFFF
19-904-s18-4,1,904,"Starnberg Nord - Leutstetten - Schäftlarn, Kloster - Wangen - Starnberg Nord",701,,008351,FFFFFF
19-906-s18-1,1,906,"Gauting - Krailling, KIM - Planegg West",701,,008351,FFFFFF
19-907-s18-1,1,907,Gauting - KIM - Germering-Unterpfaffenhofen,701,,008351,FFFFFF
19-921-s18-1,1,921,Weßling - Inning - Herrsching,701,,008351,FFFFFF
