service_id,date,exception_type
19T0+05#5,20180703,2
19T0+05#5,20180704,2
19T0+05#5,20180705,2
19T0+05#5,20180706,2
19T0+05#5,20180709,2
19T0+05#5,20180710,2
19T0+05#5,20180711,2
19T0+05#5,20180712,2
19T0+05#5,20180713,2
19T0+05#5,20180716,2
19T0+05#5,20180717,2
19T0+05#5,20180718,2
19T0+05#5,20180719,2
19T0+05#5,20180720,2
19T0+05#5,20180723,2
19T0+05#5,20180724,2
19T0+05#5,20180725,2
19T0+05#5,20180726,2
19T0+05#5,20180727,2
19T0+06,20180105,2
19T0+06,20180216,2
19T0+06,20180330,2
19T0+06,20180406,2
19T0+06,20180525,2
19T0+06,20180601,2
19T0+06#1,20180105,2
19T0+06#1,20180216,2
19T0+06#1,20180330,2
19T0+06#1,20180406,2
19T0+07,20180112,2
19T0+07,20180119,2
19T0+07,20180126,2
19T0+07,20180202,2
19T0+07,20180209,2
19T0+07,20180223,2
19T0+07,20180302,2
19T0+07,20180309,2
19T0+07,20180316,2
19T0+07,20180323,2
19T0+07,20180330,2
19T0+07,20180413,2
19T0+07,20180420,2
19T0+07,20180427,2
19T0+07,20180504,2
19T0+07,20180511,2
19T0+07,20180518,2
19T0+07,20180608,2
19T0+07,20180615,2
19T0+07,20180622,2
19T0+07,20180629,2
19T0+07,20180706,2
19T0+07,20180713,2
19T0+07,20180720,2
19T0+07,20180727,2
19T0+08,20180101,2
19T0+08,20180102,2
19T0+08,20180103,2
19T0+08,20180104,2
19T0+08,20180105,2
19T0+08,20180212,2
19T0+08,20180213,2
19T0+08,20180214,2
19T0+08,20180215,2
19T0+08,20180216,2
19T0+08,20180326,2
19T0+08,20180327,2
19T0+08,20180328,2
19T0+08,20180329,2
19T0+08,20180330,2
19T0+08,20180402,2
19T0+08,20180403,2
19T0+08,20180404,2
19T0+08,20180405,2
19T0+08,20180406,2
19T0+09,20180330,2
19T0+13,20180101,2
19T0+13,20180402,2
19T0+13,20180501,2
19T0+13,20180521,2
19T0+14,20180101,2
19T0+14,20180402,2
19T0+14,20180501,2
19T0+14,20180510,2
19T0+14,20180521,2
19T0+14,20180531,2
"19T0+14,37",20180101,2
"19T0+14,37",20180102,2
"19T0+14,37",20180103,2
"19T0+14,37",20180104,2
"19T0+14,37",20180212,2
"19T0+14,37",20180213,2
"19T0+14,37",20180214,2
"19T0+14,37",20180215,2
"19T0+14,37",20180326,2
"19T0+14,37",20180327,2
"19T0+14,37",20180328,2
"19T0+14,37",20180329,2
"19T0+14,37",20180402,2
"19T0+14,37",20180403,2
"19T0+14,37",20180404,2
"19T0+14,37",20180405,2
"19T0+14,37",20180501,2
"19T0+14,37",20180510,2
"19T0+14,37",20180521,2
"19T0+14,37",20180522,2
"19T0+14,37",20180523,2
"19T0+14,37",20180524,2
"19T0+14,37",20180528,2
"19T0+14,37",20180529,2
"19T0+14,37",20180530,2
"19T0+14,37",20180531,2
"19T0+14,37",20180730,2
"19T0+14,37",20180731,2
19T0+17,20180104,1
19T0+17,20180109,2
19T0+17,20180110,2
19T0+17,20180116,2
19T0+17,20180117,2
19T0+17,20180123,2
19T0+17,20180124,2
19T0+17,20180130,2
19T0+17,20180131,2
19T0+17,20180206,2
19T0+17,20180207,2
19T0+17,20180212,1
19T0+17,20180215,1
19T0+17,20180220,2
19T0+17,20180221,2
19T0+17,20180227,2
19T0+17,20180228,2
19T0+17,20180306,2
19T0+17,20180307,2
19T0+17,20180313,2
19T0+17,20180314,2
19T0+17,20180320,2
19T0+17,20180321,2
19T0+17,20180326,1
19T0+17,20180329,1
19T0+17,20180330,2
19T0+17,20180405,1
19T0+17,20180410,2
19T0+17,20180411,2
19T0+17,20180417,2
19T0+17,20180418,2
19T0+17,20180424,2
19T0+17,20180425,2
19T0+17,20180501,2
19T0+17,20180502,2
19T0+17,20180508,2
19T0+17,20180509,2
19T0+17,20180515,2
19T0+17,20180516,2
19T0+17,20180524,1
19T0+17,20180528,1
19T0+17,20180605,2
19T0+17,20180606,2
19T0+17,20180612,2
19T0+17,20180613,2
19T0+17,20180619,2
19T0+17,20180620,2
19T0+17,20180626,2
19T0+17,20180627,2
19T0+17,20180703,2
19T0+17,20180704,2
19T0+17,20180710,2
19T0+17,20180711,2
19T0+17,20180717,2
19T0+17,20180718,2
19T0+17,20180724,2
19T0+17,20180725,2
19T0+17,20180730,1
19T0+18,20180101,2
19T0+18,20180102,2
19T0+18,20180103,2
19T0+18,20180104,2
19T0+18,20180212,2
19T0+18,20180213,2
19T0+18,20180214,2
19T0+18,20180215,2
19T0+18,20180326,2
19T0+18,20180327,2
19T0+18,20180328,2
19T0+18,20180329,2
19T0+18,20180402,2
19T0+18,20180403,2
19T0+18,20180404,2
19T0+18,20180405,2
19T0+18,20180501,2
19T0+18,20180510,2
19T0+18,20180521,2
19T0+18,20180522,2
19T0+18,20180523,2
19T0+18,20180524,2
19T0+18,20180528,2
19T0+18,20180529,2
19T0+18,20180530,2
19T0+18,20180531,2
19T0+18,20180730,2
19T0+18,20180731,2
19T0+18#1,20180101,2
19T0+18#1,20180102,2
19T0+18#1,20180103,2
19T0+18#1,20180104,2
19T0+18#1,20180212,2
19T0+18#1,20180213,2
19T0+18#1,20180214,2
19T0+18#1,20180215,2
19T0+18#1,20180326,2
19T0+18#1,20180327,2
19T0+18#1,20180328,2
19T0+18#1,20180329,2
19T0+18#1,20180402,2
19T0+18#1,20180403,2
19T0+18#1,20180404,2
19T0+18#1,20180405,2
19T0+36,20180101,2
19T0+36,20180102,2
19T0+36,20180103,2
19T0+36,20180104,2
19T0+36,20180105,2
19T0+36,20180212,2
19T0+36,20180213,2
19T0+36,20180214,2
19T0+36,20180215,2
19T0+36,20180216,2
19T0+36,20180326,2
19T0+36,20180327,2
19T0+36,20180328,2
19T0+36,20180329,2
19T0+36,20180330,2
19T0+36,20180402,2
19T0+36,20180403,2
19T0+36,20180404,2
19T0+36,20180405,2
19T0+36,20180406,2
19T0+36,20180501,2
19T0+36,20180510,2
19T0+36,20180511,2
19T0+36,20180521,2
19T0+36,20180531,2
19T0+36,20180601,2
19T0+36,20180702,2
19T0+36,20180703,2
19T0+36,20180704,2
19T0+36,20180705,2
19T0+36,20180706,2
19T0+36,20180709,2
19T0+36,20180710,2
19T0+36,20180711,2
19T0+36,20180712,2
19T0+36,20180713,2
19T0+36,20180716,2
19T0+36,20180717,2
19T0+36,20180718,2
19T0+36,20180719,2
19T0+36,20180720,2
19T0+36,20180723,2
19T0+36,20180724,2
19T0+36,20180725,2
19T0+36,20180726,2
19T0+36,20180727,2
19T0+36,20180730,2
19T0+36,20180731,2
19T0+37,20180101,2
19T0+37,20180102,2
19T0+37,20180103,2
19T0+37,20180104,2
19T0+37,20180105,2
19T0+37,20180212,2
19T0+37,20180213,2
19T0+37,20180214,2
19T0+37,20180215,2
19T0+37,20180216,2
19T0+37,20180326,2
19T0+37,20180327,2
19T0+37,20180328,2
